titre_complet,marque,annee,modele,prix_texte,prix,adresse,kilometrage,url_page,categorie
Honda SH 2010,Honda,2010,SH,450FCFA,450,"Passée, il y a 1 mois",10000.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Honda SH 2010,Honda,2010,SH,450FCFA,450,"Passée, il y a 1 mois",10000.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Honda SH 2010,Honda,2010,SH,450FCFA,450,"Passée, il y a 1 mois",160.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Honda SH 2010,Honda,2010,SH,450FCFA,450,"Passée, il y a 1 mois",160.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Honda SH 2010,Honda,2010,SH,450FCFA,450,"Passée, il y a 1 mois",160.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Honda SH 2010,Honda,2010,SH,450FCFA,450,"Passée, il y a 1 mois",160.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Honda SH 2010,Honda,2010,SH,450FCFA,450,"Passée, il y a 1 mois",,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Honda SH 2010,Honda,2010,SH,450FCFA,450,"Passée, il y a 1 mois",,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Honda CBF 2007,Honda,2007,CBF,1 500 000FCFA,1500000,"Passée, il y a 2 mois",11000.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Honda CBF 2007,Honda,2007,CBF,1 500 000FCFA,1500000,"Passée, il y a 2 mois",11000.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Honda CBF 2007,Honda,2007,CBF,1 500 000FCFA,1500000,"Passée, il y a 2 mois",11000.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Honda CBF 2007,Honda,2007,CBF,1 500 000FCFA,1500000,"Passée, il y a 2 mois",11000.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Honda CBF 2007,Honda,2007,CBF,1 500 000FCFA,1500000,"Passée, il y a 2 mois",,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Honda CBF 2007,Honda,2007,CBF,1 500 000FCFA,1500000,"Passée, il y a 2 mois",,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
SYM 125S 2023,SYM,2023,125S,620 000FCFA,620000,"Passée, il y a 2 mois",1200.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
SYM 125S 2023,SYM,2023,125S,620 000FCFA,620000,"Passée, il y a 2 mois",1200.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
SYM 125S 2023,SYM,2023,125S,620 000FCFA,620000,"Passée, il y a 2 mois",1200.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
SYM 125S 2023,SYM,2023,125S,620 000FCFA,620000,"Passée, il y a 2 mois",1200.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
SYM 125S 2023,SYM,2023,125S,620 000FCFA,620000,"Passée, il y a 2 mois",,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
SYM 125S 2023,SYM,2023,125S,620 000FCFA,620000,"Passée, il y a 2 mois",,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Yamaha TMax 2023,Yamaha,2023,TMax,4 300 000FCFA,4300000,"Passée, il y a 3 mois",1.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Yamaha TMax 2023,Yamaha,2023,TMax,4 300 000FCFA,4300000,"Passée, il y a 3 mois",1.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Yamaha TMax 2023,Yamaha,2023,TMax,4 300 000FCFA,4300000,"Passée, il y a 3 mois",1.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Yamaha TMax 2023,Yamaha,2023,TMax,4 300 000FCFA,4300000,"Passée, il y a 3 mois",1.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Yamaha TMax 2023,Yamaha,2023,TMax,4 300 000FCFA,4300000,"Passée, il y a 3 mois",,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Yamaha TMax 2023,Yamaha,2023,TMax,4 300 000FCFA,4300000,"Passée, il y a 3 mois",,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Yamaha X-Max 2025,Yamaha,2025,X-Max,800 000FCFA,800000,"Passée, il y a 3 mois",250.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Yamaha X-Max 2025,Yamaha,2025,X-Max,800 000FCFA,800000,"Passée, il y a 3 mois",250.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Yamaha X-Max 2025,Yamaha,2025,X-Max,800 000FCFA,800000,"Passée, il y a 3 mois",250.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Yamaha X-Max 2025,Yamaha,2025,X-Max,800 000FCFA,800000,"Passée, il y a 3 mois",250.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Yamaha X-Max 2025,Yamaha,2025,X-Max,800 000FCFA,800000,"Passée, il y a 3 mois",,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Yamaha X-Max 2025,Yamaha,2025,X-Max,800 000FCFA,800000,"Passée, il y a 3 mois",,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Honda X-ADV 2021,Honda,2021,X-ADV,810 000FCFA,810000,"Passée, il y a 3 mois",350.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Honda X-ADV 2021,Honda,2021,X-ADV,810 000FCFA,810000,"Passée, il y a 3 mois",350.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Honda X-ADV 2021,Honda,2021,X-ADV,810 000FCFA,810000,"Passée, il y a 3 mois",350.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Honda X-ADV 2021,Honda,2021,X-ADV,810 000FCFA,810000,"Passée, il y a 3 mois",350.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Honda X-ADV 2021,Honda,2021,X-ADV,810 000FCFA,810000,"Passée, il y a 3 mois",,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Honda X-ADV 2021,Honda,2021,X-ADV,810 000FCFA,810000,"Passée, il y a 3 mois",,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
KTM jakarta 2025,KTM,2025,jakarta,220 000FCFA,220000,"Passée, il y a 4 mois",6000.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
KTM jakarta 2025,KTM,2025,jakarta,220 000FCFA,220000,"Passée, il y a 4 mois",6000.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
KTM jakarta 2025,KTM,2025,jakarta,220 000FCFA,220000,"Passée, il y a 4 mois",6000.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
KTM jakarta 2025,KTM,2025,jakarta,220 000FCFA,220000,"Passée, il y a 4 mois",6000.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
KTM jakarta 2025,KTM,2025,jakarta,220 000FCFA,220000,"Passée, il y a 4 mois",,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
KTM jakarta 2025,KTM,2025,jakarta,220 000FCFA,220000,"Passée, il y a 4 mois",,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Yamaha Tricker 2025,Yamaha,2025,Tricker,950 000FCFA,950000,"Passée, il y a 4 mois",1.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Yamaha Tricker 2025,Yamaha,2025,Tricker,950 000FCFA,950000,"Passée, il y a 4 mois",1.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Yamaha Tricker 2025,Yamaha,2025,Tricker,950 000FCFA,950000,"Passée, il y a 4 mois",1.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Yamaha Tricker 2025,Yamaha,2025,Tricker,950 000FCFA,950000,"Passée, il y a 4 mois",1.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Yamaha Tricker 2025,Yamaha,2025,Tricker,950 000FCFA,950000,"Passée, il y a 4 mois",,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
