titre_complet,marque,annee,modele,prix_texte,prix,adresse,kilometrage,boite_vitesse,carburant,url_page,categorie
Toyota Rav 4 2014,Toyota,2014,Rav 4,5 000 000FCFA,5000000,"Passée, il y a 1 jour",105000.0,Automatique,Essence,https://dakar-auto.com/senegal/voitures-4,voitures
Toyota Rav 4 2014,Toyota,2014,Rav 4,5 000 000FCFA,5000000,"Passée, il y a 1 jour",105000.0,Automatique,Essence,https://dakar-auto.com/senegal/voitures-4,voitures
Toyota Rav 4 2014,Toyota,2014,Rav 4,5 000 000FCFA,5000000,"Passée, il y a 1 jour",99000.0,Automatique,Essence,https://dakar-auto.com/senegal/voitures-4,voitures
Toyota Rav 4 2014,Toyota,2014,Rav 4,5 000 000FCFA,5000000,"Passée, il y a 1 jour",99000.0,Automatique,Essence,https://dakar-auto.com/senegal/voitures-4,voitures
Toyota Rav 4 2014,Toyota,2014,Rav 4,5 000 000FCFA,5000000,"Passée, il y a 1 jour",99000.0,Automatique,Essence,https://dakar-auto.com/senegal/voitures-4,voitures
Toyota Rav 4 2014,Toyota,2014,Rav 4,5 000 000FCFA,5000000,"Passée, il y a 1 jour",99000.0,Automatique,Essence,https://dakar-auto.com/senegal/voitures-4,voitures
Toyota Rav 4 2014,Toyota,2014,Rav 4,5 000 000FCFA,5000000,"Passée, il y a 1 jour",,,,https://dakar-auto.com/senegal/voitures-4,voitures
Toyota Rav 4 2014,Toyota,2014,Rav 4,5 000 000FCFA,5000000,"Passée, il y a 1 jour",,,,https://dakar-auto.com/senegal/voitures-4,voitures
Peugeot 3008 2018,Peugeot,2018,3008,6 000 000FCFA,6000000,"Passée, il y a 4 jours",88000.0,Manuelle,Diesel,https://dakar-auto.com/senegal/voitures-4,voitures
Peugeot 3008 2018,Peugeot,2018,3008,6 000 000FCFA,6000000,"Passée, il y a 4 jours",88000.0,Manuelle,Diesel,https://dakar-auto.com/senegal/voitures-4,voitures
Peugeot 3008 2018,Peugeot,2018,3008,6 000 000FCFA,6000000,"Passée, il y a 4 jours",88000.0,Manuelle,Diesel,https://dakar-auto.com/senegal/voitures-4,voitures
Peugeot 3008 2018,Peugeot,2018,3008,6 000 000FCFA,6000000,"Passée, il y a 4 jours",88000.0,Manuelle,Diesel,https://dakar-auto.com/senegal/voitures-4,voitures
Peugeot 3008 2018,Peugeot,2018,3008,6 000 000FCFA,6000000,"Passée, il y a 4 jours",,,,https://dakar-auto.com/senegal/voitures-4,voitures
Peugeot 3008 2018,Peugeot,2018,3008,6 000 000FCFA,6000000,"Passée, il y a 4 jours",,,,https://dakar-auto.com/senegal/voitures-4,voitures
Hyundai Tucson 2016,Hyundai,2016,Tucson,4 000 000FCFA,4000000,"Passée, il y a 4 jours",177000.0,Manuelle,Essence,https://dakar-auto.com/senegal/voitures-4,voitures
Hyundai Tucson 2016,Hyundai,2016,Tucson,4 000 000FCFA,4000000,"Passée, il y a 4 jours",177000.0,Manuelle,Essence,https://dakar-auto.com/senegal/voitures-4,voitures
Hyundai Tucson 2016,Hyundai,2016,Tucson,4 000 000FCFA,4000000,"Passée, il y a 4 jours",177000.0,Manuelle,Essence,https://dakar-auto.com/senegal/voitures-4,voitures
Hyundai Tucson 2016,Hyundai,2016,Tucson,4 000 000FCFA,4000000,"Passée, il y a 4 jours",177000.0,Manuelle,Essence,https://dakar-auto.com/senegal/voitures-4,voitures
Hyundai Tucson 2016,Hyundai,2016,Tucson,4 000 000FCFA,4000000,"Passée, il y a 4 jours",,,,https://dakar-auto.com/senegal/voitures-4,voitures
Hyundai Tucson 2016,Hyundai,2016,Tucson,4 000 000FCFA,4000000,"Passée, il y a 4 jours",,,,https://dakar-auto.com/senegal/voitures-4,voitures
Kia Sorento 2015,Kia,2015,Sorento,4 000 000FCFA,4000000,"Passée, il y a 4 jours",231000.0,Manuelle,Diesel,https://dakar-auto.com/senegal/voitures-4,voitures
Kia Sorento 2015,Kia,2015,Sorento,4 000 000FCFA,4000000,"Passée, il y a 4 jours",231000.0,Manuelle,Diesel,https://dakar-auto.com/senegal/voitures-4,voitures
Kia Sorento 2015,Kia,2015,Sorento,4 000 000FCFA,4000000,"Passée, il y a 4 jours",231000.0,Manuelle,Diesel,https://dakar-auto.com/senegal/voitures-4,voitures
Kia Sorento 2015,Kia,2015,Sorento,4 000 000FCFA,4000000,"Passée, il y a 4 jours",231000.0,Manuelle,Diesel,https://dakar-auto.com/senegal/voitures-4,voitures
Kia Sorento 2015,Kia,2015,Sorento,4 000 000FCFA,4000000,"Passée, il y a 4 jours",,,,https://dakar-auto.com/senegal/voitures-4,voitures
Kia Sorento 2015,Kia,2015,Sorento,4 000 000FCFA,4000000,"Passée, il y a 4 jours",,,,https://dakar-auto.com/senegal/voitures-4,voitures
Kia Sorento 2011,Kia,2011,Sorento,3 000 000FCFA,3000000,"Passée, il y a 4 jours",121000.0,Automatique,Essence,https://dakar-auto.com/senegal/voitures-4,voitures
Kia Sorento 2011,Kia,2011,Sorento,3 000 000FCFA,3000000,"Passée, il y a 4 jours",121000.0,Automatique,Essence,https://dakar-auto.com/senegal/voitures-4,voitures
Kia Sorento 2011,Kia,2011,Sorento,3 000 000FCFA,3000000,"Passée, il y a 4 jours",121000.0,Automatique,Essence,https://dakar-auto.com/senegal/voitures-4,voitures
Kia Sorento 2011,Kia,2011,Sorento,3 000 000FCFA,3000000,"Passée, il y a 4 jours",121000.0,Automatique,Essence,https://dakar-auto.com/senegal/voitures-4,voitures
Kia Sorento 2011,Kia,2011,Sorento,3 000 000FCFA,3000000,"Passée, il y a 4 jours",,,,https://dakar-auto.com/senegal/voitures-4,voitures
